product_code_or_sku,orders,revenue,qty_sold,Date
NLE5CO_55300_20,0,0.0,0,2021-07-01
NLE5AS_335CL_C24,0,0.0,0,2021-07-01
NLE5UM_6150,0,0.0,0,2021-07-01
NLE5SP_5DT_SC,2,0.0,2,2021-07-01
NLE5SP_6DBK_24,0,0.0,0,2021-07-01
NLE5SP_6DBK_48SS,0,0.0,0,2021-07-01
NLE5SP_6DBK_AD,0,0.0,0,2021-07-01
NLE5SP_6DBK_E45,0,0.0,0,2021-07-01
NLE5SP_6DBK_DS,0,0.0,0,2021-07-01
NLE5SP_6DBK_E90,0,0.0,0,2021-07-01
NLE5SP_6DP_36SSCF,0,0.0,0,2021-07-01
NLE5SP_6DT_FC,0,0.0,0,2021-07-01
NLE5SP_6DT_F6,0,0.0,0,2021-07-01
NLE5SP_6DT_CS11,0,0.0,0,2021-07-01
NLE5SP_6DVL_E45,0,0.0,0,2021-07-01
NLE5SP_6DVL_ADWD,0,0.0,0,2021-07-01
NLE5SP_6DVL_ADT,0,0.0,0,2021-07-01
NLE5SP_6DVL_AD,0,0.0,0,2021-07-01
NLE5SP_6DVL_48,0,0.0,0,2021-07-01
NLE5SP_6DVL_46TA,0,0.0,0,2021-07-01
NLE5SP_6DP_SC,1,0.0,1,2021-07-01
NLE5SP_6DT_36SS,0,0.0,0,2021-07-01
NLE5SP_6DP_XRB,0,0.0,0,2021-07-01
NLE5SP_6DP_VC,0,0.0,0,2021-07-01
NLE5SB_36072M,1,41.16,2,2021-07-01
NLE5SP_6DVL_ADC,3,26.68,3,2021-07-01
NLE5SP_6DT_VC,3,79.06,3,2021-07-01
NLE5SP_6DT_LB,1,45.32,4,2021-07-01
NLE5SB_36048M,1,17.57,1,2021-07-01
NLE5IM_BM0110,1,15.99,1,2021-07-01
NLE5SP_5DT_SA,2,15.84,2,2021-07-01
NLE5SP_6DBK_TL,1,80.13,1,2021-07-01
NLE5SP_8DBK_48SS,2,253.68,4,2021-07-01
NLE5SP_6DVL_68TA,1,209.28,1,2021-07-01
ROUTEINS,75,200.68,75,2021-07-01
NLE5SP_6DT_48SS,1,227.33,1,2021-07-01
NLE5SP_6DT_60CF,2,439.24,2,2021-07-01
NLE5SP_6DBK_48,3,116.1,3,2021-07-01
NLE5SP_6DT_XRS,1,95.88,2,2021-07-01
NLE5SP_8DT_VC,1,141.63,1,2021-07-01
